"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"academicWriteR","academicWriteR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.1",NA,"R (>= 3.5.0)","broom.mixed, broom, tidyr, dplyr, lme4, readr, tibble,
tidytext, rlang, knitr, kableExtra, flextable, officer,
forcats, bayestestR, stringr",NA,"lmerTest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"acepack","acepack","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"anytime","anytime","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"APAstyler","APAstyler","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,NA,"formattable, stringr, tibble, broom, stats, reshape, dplyr,
tidyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"apaTables","apaTables","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.8",NA,"R (>= 3.1.2)","stats, utils, methods, car, broom, dplyr, boot, tibble, MBESS",NA,"testthat, knitr",NA,"MIT License + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ape","ape","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.4-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"AppliedPredictiveModeling","AppliedPredictiveModeling","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-7",NA,"R (>= 2.10)","CORElearn, MASS, plyr, reshape2, lattice, ellipse",NA,"caret (>= 6.0-22)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"arm","arm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.11-2",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, Hmisc, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.0.2"
"arrayhelpers","arrayhelpers","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-0",NA,NA,"methods, utils, svUnit",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"AsioHeaders","AsioHeaders","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.16.1-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.2"
"askpass","askpass","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"audio","audio","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-7",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"autopptx","autopptx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,NA,"officer, readxl, magrittr",NA,NA,NA,"What license is it under? Great question. No clue.",NA,NA,NA,NA,"no","4.0.1"
"available","available","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.4",NA,"R (>= 3.3.0)","cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, udapi, yesno",NA,"usethis, BiocInstaller, BiocManager, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"backports","backports","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"base","base","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,NA,NA,"methods",NA,"Part of R 4.0.3",NA,NA,NA,NA,NA,"4.0.3"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"BayesFactor","BayesFactor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9.12-4.2",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"bayesplot","bayesplot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8.1",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"bayestestR","bayestestR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.11.5",NA,"R (>= 3.4)","insight (>= 0.14.1), datawizard (>= 0.2.0), methods, stats,
utils",NA,"BayesFactor, bayesQR, blavaan, bridgesampling, brms, dplyr,
effectsize, emmeans, GGally, ggdist, ggplot2, ggridges, httr,
KernSmooth, knitr, lavaan, lme4, logspline, MASS, mclust,
mediation, modelbased, parameters, performance, rmarkdown,
rstan, rstanarm, see, spelling, stringr, testthat, tidyr,
tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"BDgraph","BDgraph","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.63",NA,NA,"igraph",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"beautifyR","beautifyR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.1",NA,NA,"stringr (>= 1.3.0), rstudioapi (>= 0.7)",NA,NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.0.1"
"beepr","beepr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3",NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"beeswarm","beeswarm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"BH","BH","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.2"
"bindr","bindr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"bindrcpp","bindrcpp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
